ID,Tweet,Sentiment Polarity
4330,vist bolest vztek smutek zmatek osam lost beznad nakonec klid takhl vypad life,neutral
41616,hain yaar neha karega post usn na sach mein photoshoot karna chahiy phir post karega,neutral
6648,televis media congress liy nahi aapko pata chal hoga acha hoga congress,negative
2512,india nrc lagu kare kashmir dhara khatam kare indian aaps yahi umid,positive
610,pagal real issu mandir import hindu khatr,neutral
14356,jeet dher sari subh kamnay modi asha karta jistarah desh janta kha bahar jannat,positive
5840,topi wali bo new job hogi humey choti kesi miley,negative
32791,modi media walon maza hindu muslim debat karn,neutral
37480,baih tere itjey jalti pakistan chutiy kheln na unh indian nahi,negative
16395,he come actual someon shaadi,neutral
33428,answer miscalcul vote seat vote matter deshkamahatyohar apn dhji,neutral
19222,allah pak darwaza ni karta lyhe ach ehsaa rakhta aajzi,neutral
8422,bahut samjhdari cingress faisla liya umid karta hun desh sabhi parti,neutral
26930,safar mera meri manzil tere bana guzra mushkil love,positive
40285,dubar pm banan aapko dher sari shubhakamanyen umid aapk karykala desh bahut uplbadhiyon,positive
21403,face life togeth spend money still money,positive
35826,wah kisi khub likha shama khud jala jaha roshan kardeta kya apn apn,positive
18017,tani hit flop logo aukad kya chutiya log aapijaan chaplusi bad,negative
39736,star ohho beauti eye yaar,positive
15893,evryon shit fuck,negative
5433,haram khor log ulta chor kotow dantey mulk torney baat karney wali phoolon pehn,negative
23492,armi also stade franc prepar concert look beauti post instagram,positive
13515,ji shree jarurat nahi andolan guruji modi mumkin pl trust pm,positive
34678,phir loot chalo gaya bjp walo tumh kuch chut raha nahi milna chahiy,neutral
11310,jinko khud nahi ramcharitmana bhej rahe bjp neta pehl khud samjhna chahiy,neutral
27883,rajya jism sabhi sale harami sale itn brahm mar modi dekhna sale tere,negative
16679,mayb fa feel thing,neutral
26920,duniya kabhi na daka hota dekha pyar izhar kaho na pyar premi,neutral
35982,poor poor ever happi kase god,negative
14603,madam alway miss videsh mantri,positive
37801,sharma episod nice sir mein gay yaar sharma sir bahut himmat,positive
18824,happi birthday doctor sahab bhagwan aapko khush swasth rakh ais apni creativ hansaat,positive
21543,teri kimat dokodi gayi amit shah captur telegana soon resign,negative
19116,bhi wala mahe chipka rakhi bhi behen pyar,positive
44557,mata banerje na jane tumko desh jaishreeram har ghum dubi bu,negative
2359,still far better mm govt connect number economi share,neutral
1445,chanda make gentl nice relat someon life kisi shree zaroorat parti,neutral
5440,chanda hope best,neutral
7229,cricket world cup start today good luck host tournament hope good,neutral
27364,famili background ni sakti caus ke ladkiyan fake naam id banti pic upload karti bana walu izzat,neutral
40382,sahab manoj rajoriya jeet hardik subhkamnay,positive
27897,apna nahi ghum mere murder rape fuck shred bit,negative
35758,back kart chop cold quickli feel good feel good waaaaag,positive
38461,sadji kisi bheja aapk liy,neutral
32467,gadkari sir badhai sir agra meyar samjhao kuch kare modiji ramraj,positive
33309,paint famou indian ad hidden favourit symbol spot anyon,neutral
10989,fckn pist lost damn shade,negative
18753,give araki lot credit kuch detail work goe make charact he,positive
25483,modi hota rahega lekin pehl mandir banawao dhara hatao hindurastra ghosit karwao logo,positive
13396,pagol kutt samn roti dalna sahi nahi sholay thakur sab bolk gay logbog saal,positive
7897,proud love congratul homi,positive
26915,muslim muslim muslim musalmano unki khudai izzat khud desh khud hone khud naslo,negative
8238,hadd kamin pan aapko pata jail gaya bana order railway platform,negative
28701,vishwa guy want modiji dont want even god come,negative
40128,parti candid nahi dekh hoge ba modi jitna vote diy,neutral
14505,nahi tarha nahi patwari olad pakistani pakistan pyar krti,positive
22273,kabhi nahi sudhrog fact check baat chutiy,negative
35558,ji shri turn vand mataram,neutral
8199,best wish world cup mubarak muzaffar hassan nation gener secretari,neutral
2144,aarthik madad nahi pakistan awam propoganda public apn pass rakho,neutral
23844,kafi dushman nahin hain wafaa dari dawa kyun karan think someth,neutral
8910,actual ink pass naaz karn liy kuch bacha nahi haqeeqat pasand,negative
33576,tryna find perfect watermelon,neutral
28206,match zarur dekhna dukh jhalna khel talent na parchiyo baserra,neutral
32666,sort like caus love pomeranian pictur chew toy litt,positive
26044,awwwi thank good morn,positive
19034,mean problem democrat vivek katori mein attent bheek maang rahe usp khoon laga,negative
13152,greet dearest friend shri birthday maa aashapura bless lot love happ,positive
17992,wonda month ramadan posit heart desir prayer famili friend grant insha allah,positive
23129,marwadi roshan roshan khudai dekh aaya roshan,neutral
15581,,neutral
8604,spotter sirf pauranik kathaon mein payi jati vaastavikta iska sambandh nahi,neutral
20097,bjp leader vishwa sarang bhopal tabaadla udyog congress sarkar mein phal raha vidhayak vyapar kendrabindu,neutral
5225,apni indian fikar karo pakistan khud dykh lyngi mukti bahini nahi,neutral
31039,sarkar jiski buniyad taki apn muqaam pahunch gayi laghusanka dari,positive
41953,alvida jumma mubarak duwa guzarish,positive
43996,sir modi name paida kabhi yamuna nagar rajiv garden bank caloni dekho logo,neutral
18866,jyada gyan na pelo democraci majak udana band thoda competit dete baat bolt,positive
28950,khan bhi ankush khush raho pray know nafrat kabhi ki,positive
36545,much sare tweet arsal support jaya nahi chai nahi bana sakti yasit,neutral
2745,jj sab salo saal pend case sultan maza nahi ata inko public pais monthli case miljay,negative
38245,secretofposit paji dhan dhan satguru tera aasra good morn mugj,positive
31302,bachi piec mil rehmat,neutral
11709,mat kaho nahi wais shakal mjhe pata nahi aisa matter nahi karta,neutral
20225,everi singl memer make guy amaz jindabaad jcbkikudhayi jcbkikhudaai,positive
34859,non stop hoga entertain kon dega perform sabs best watch srgmplilchamp sun pm,neutral
42434,atankwadi uski jeet musalman hoti readi musalman baat,negative
23986,hume bhula na paog,neutral
37553,soul toni stark leke ghum,positive
4443,gund sale hall baith bhonk yogendrayadav aukat gurgaon kisi band,negative
37414,bengal bjp kuch galat neta apn bachan jogdan rahe iss parti support barn,neutral
26700,actual ars liverpool win good premier leagu joke still stand alreadi,positive
19318,happi birthday pretti girl thank good agn memori card soon ha enjoy,positive
19685,sharam haya qimat lagwai liy kutt seat miliy hakumat talway chatni wala,negative
16219,sir life sapna kabhi kisi mulakaat karna log netaon fan hote hain,neutral
14905,thank dear shahrukh love encourag,positive
13262,mere bhi shariyath pehl india sirf muslim liyah rahegi inshallah,positive
33719,bharatthiseid bharat loveusalman superb look handsom,positive
30635,bohot pakhtono pashtunistaan nasha chara huva hosh mein warna sach mar parh,negative
26753,dhoop aarti shri baba mandir shirdi baba bless happi world,positive
9677,amit shah pleas airway employe bare mein kuch kariy parivar wale bahut pareshan bhukh mar rahe hain,positive
20043,abroad properti rakh chupan respectful hota akm panama harami waseem abbasi,negative
27049,respect rahul sir dont disappoint great leader soch,positive
19215,watch perf choreo kinda sexi fit shihyun much,positive
4647,bajrang bali,positive
41076,good wala sahi thora bad last ajeeb,neutral
4034,haramzad hamar tukdo palta hamain aakh dekhta kutt pagal gaya,negative
25360,haay entri aisi herowalientri best part today episod shaheersheikh yehrishteyhainpyaar,positive
33442,ssidhu ins na payega,negative
24139,year old declar record watch badshah time claim biggest fan,neutral
18846,nahi sorri health depart sare hospit band karo pehl dher gaumutra bemari,negative
29030,mein priyanka prakash modi dia poti mein uns kehna chahti baar mere dia sapat dahej,positive
22594,easi make easi love bhaji hanji kida lgi movi chandigarhamritsarchandigarh jana nh,positive
12417,sir elect commis gaali ni govt employe gaali elect karta,neutral
31335,bahut pitega chutiy sale teri himmat kais voter idiot boln ujd,negative
39578,pmo good morn modi banti log facbook unk liy raat lage rahe modi,neutral
36320,salman khan best fight scene movi instagram photo,positive
14490,madarchod bhartiy sainik likhta harami aulad hindu hogaya desh bhakt gaya kisi gaali teri,negative
7639,shatram arey meri di depress bechari chalo band hoga tweet koi,neutral
37806,chalo goiz follow hogay hain mujhi unfollow karna warna allah pochi logo musalmano jisko follow,neutral
27128,googl best friend sick beli wale hai,neutral
18904,narendra damodar modi best vadnagar kamalka banshiwala shubh apka jatra,positive
1681,talent thank god creat perfect gener person pray continu,neutral
28730,sach raha deewana na kisi lagana jhute pyar wade sare jhoothi pyar kasm,neutral
1936,odisha thank sir hamara umid ji jagannath swami,neutral
10559,pubg ni khelta tiktok ni karta sota ni lagta girlz ni karta societi accept,neutral
15663,namaskar sir mere requst lakhnpur satwari chowk street light,positive
22673,bjp sath nahi atankwadi aur hindu sath nahi deshdrohi,negative
17068,sabdo maraham gahra jakham nahi hoga bacho bachiyo bhavani sardhanjali pari,positive
16439,sorri tailor kapr kharab diy hain,neutral
